,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,PlayerID,Rookie_Season,Rookie_rOBA
3,1996,20,-2.8,Prince William,CARL,A+,CHW,18,72,58,9,14,3,0,0,3,0,0,13,6,.241,.389,.293,.682,17,0,1,0,0,0,johnsma02,1999.0,0.322
4,1996,20,-1.6,South Bend,MIDW,A,CHW,67,262,214,29,55,14,3,2,27,3,3,39,25,.257,.368,.379,.747,81,8,1,4,4,2,johnsma02,1999.0,0.322
5,1997,21,-1.4,Winston-Salem,CARL,A+,CHW,120,491,375,59,95,27,4,4,46,4,2,106,85,.253,.420,.379,.798,142,7,5,0,5,2,johnsma02,1999.0,0.322
6,1998,22,-2.0,Birmingham,SOUL,AA,CHW,117,494,382,68,108,17,3,9,59,0,1,105,72,.283,.443,.414,.857,158,5,6,0,1,0,johnsma02,1999.0,0.322
1,1991,20,-2.3,Sarasota,FLOR,A+,CHW,5,21,19,1,2,0,1,0,2,0,1,2,0,.105,.190,.211,.401,4,1,0,0,0,0,saenzol01,1999.0,0.378
2,1991,20,-1.4,South Bend,MIDW,A,CHW,56,221,192,23,47,10,1,2,22,5,3,21,48,.245,.332,.339,.670,65,3,5,1,2,0,saenzol01,1999.0,0.378
3,1992,21,-0.5,South Bend,MIDW,A,CHW,132,545,493,66,121,26,4,7,59,16,13,36,52,.245,.309,.357,.666,176,16,11,2,3,4,saenzol01,1999.0,0.378
5,1993,22,-1.6,Birmingham,SOUL,AA,CHW,49,199,173,30,60,17,2,6,29,2,1,20,21,.347,.427,.572,.999,99,7,5,0,1,2,saenzol01,1999.0,0.378
6,1993,22,-0.3,Sarasota,FLOR,A+,CHW,33,134,121,13,31,9,4,0,27,3,1,9,18,.256,.316,.397,.712,48,1,2,1,1,0,saenzol01,1999.0,0.378
7,1993,22,0.4,South Bend,MIDW,A,CHW,13,57,50,3,18,4,1,0,7,1,1,7,7,.360,.439,.480,.919,24,1,0,0,0,0,saenzol01,1999.0,0.378
8,1994,23,-3.8,Nashville,AA,AAA,CHW,107,429,383,48,100,27,2,12,59,3,2,30,57,.261,.326,.436,.762,167,5,9,2,5,0,saenzol01,1999.0,0.378
10,1995,24,-3.0,Nashville,AA,AAA,CHW,111,478,415,60,126,26,1,13,74,0,2,45,60,.304,.385,.465,.850,193,11,12,3,3,1,saenzol01,1999.0,0.378
11,1996,25,-1.3,Nashville,AA,AAA,CHW,134,545,476,86,124,29,1,18,63,4,2,53,80,.261,.350,.439,.789,209,5,13,2,1,1,saenzol01,1999.0,0.378
12,1997,26,7.0,White Sox,GULF,Rk,CHW,2,2,1,0,1,1,0,0,0,0,0,0,0,1.000,1.000,2.000,3.000,2,0,1,0,0,0,saenzol01,1999.0,0.378
13,1998,27,0.3,Calgary,PCL,AAA,CHW,124,540,466,89,146,29,0,29,102,3,3,45,49,.313,.394,.562,.957,262,16,22,0,7,3,saenzol01,1999.0,0.378
